MOBILE_NAME RATING PRICE RAM SIZE CAMERA  BATTERY PROCESSOR  CHARGE
Redmi 8A (Midnight Black| 32 GB),₹6,999₹8,99922% offNo Cost EMIUpto ₹6,950 Off on Exchange,,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,

Realme 5 (Crystal Purple| 64 GB),₹9,999₹11,99916% offNo Cost EMIUpto ₹9,250 Off on Exchange,,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAH Battery,

Realme 5 (Crystal Blue| 32 GB),₹8,999₹10,99918% offNo Cost EMIUpto ₹8,900 Off on Exchange,,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAH Battery,

Realme 5 (Crystal Blue| 64 GB),₹9,999₹11,99916% offNo Cost EMIUpto ₹9,250 Off on Exchange,,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAH Battery,

Realme 5 (Crystal Purple| 128 GB),₹10,999₹12,99915% offNo Cost EMIUpto ₹10,800 Off on Exchange,,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAH Battery,

Realme 5 (Crystal Blue| 128 GB),₹10,999₹12,99915% offNo Cost EMIUpto ₹10,800 Off on Exchange,,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAH Battery,

Realme 5 (Crystal Purple| 32 GB),₹8,999₹10,99918% offNo Cost EMIUpto ₹8,900 Off on Exchange,,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAH Battery,

Redmi 8A (Ocean Blue| 32 GB),₹6,999₹8,99922% offNo Cost EMIUpto ₹6,950 Off on Exchange,,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,

Redmi 8A (Ocean Blue| 32 GB),₹6,499₹7,99918% offNo Cost EMIUpto ₹6,400 Off on Exchange,,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,

Realme 3 Pro (Lightning Purple| 128 GB),₹12,999₹19,99935% offNo Cost EMIUpto ₹10,800 Off on Exchange,,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) FHD+ Display,16MP + 5MP | 25MP Front Camera,4045 mAh Battery,

Realme 3 Pro (Nitro Blue| 64 GB),₹9,999₹15,99937% offNo Cost EMIUpto ₹9,250 Off on Exchange,,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) FHD+ Display,16MP + 5MP | 25MP Front Camera,4045 mAh Battery,

